Tanggal,Terakhir
2019-01-02,6181.1748
2019-01-03,6221.0098
2019-01-04,6274.5400
2019-01-07,6287.2241
2019-01-08,6262.8472
2019-01-09,6272.2378
2019-01-10,6328.7139
2019-01-11,6361.4648
2019-01-14,6336.1162
2019-01-15,6408.7842
2019-01-16,6413.3599
2019-01-17,6423.7798
2019-01-18,6448.1558
2019-01-21,6450.8340
2019-01-22,6468.5620
2019-01-23,6451.1699
2019-01-24,6466.6548
2019-01-25,6482.8428
2019-01-28,6458.7119
2019-01-29,6436.4800
2019-01-30,6464.1890
2019-01-31,6532.9692
2019-02-01,6538.6382
2019-02-04,6481.4512
2019-02-06,6547.8770
2019-02-07,6536.4570
2019-02-08,6521.6631
2019-02-11,6495.0020
2019-02-12,6426.3252
2019-02-13,6419.1162
2019-02-14,6420.0181
2019-02-15,6389.0850
2019-02-18,6497.8149
2019-02-19,6494.6670
2019-02-20,6512.7842
2019-02-21,6537.7661
2019-02-22,6501.3779
2019-02-25,6525.3579
2019-02-26,6540.9502
2019-02-27,6525.6831
2019-02-28,6443.3481
2019-03-01,6499.8838
2019-03-04,6488.4199
2019-03-05,6441.2798
2019-03-06,6457.9561
2019-03-08,6383.0679
2019-03-11,6366.4341
2019-03-12,6353.7739
2019-03-13,6377.5752
2019-03-14,6413.2661
2019-03-15,6461.1831
2019-03-18,6509.4468
2019-03-19,6480.2759
2019-03-20,6482.7100
2019-03-21,6501.7759
2019-03-22,6525.2739
2019-03-25,6411.2510
2019-03-26,6469.9990
2019-03-27,6444.7378
2019-03-28,6480.7881
2019-03-29,6468.7549
2019-04-01,6452.6108
2019-04-02,6476.0659
2019-04-04,6494.6299
2019-04-05,6474.0181
2019-04-08,6425.7339
2019-04-09,6484.3481
2019-04-10,6478.3262
2019-04-11,6410.1660
2019-04-12,6405.8662
2019-04-15,6435.1509
2019-04-16,6481.5410
2019-04-18,6507.2212
2019-04-22,6414.7432
2019-04-23,6462.8218
2019-04-24,6447.8848
2019-04-25,6372.7871
2019-04-26,6401.0801
2019-04-29,6425.8950
2019-04-30,6455.3521
2019-05-02,6374.4219
2019-05-03,6319.4590
2019-05-06,6256.3521
2019-05-07,6297.3179
2019-05-08,6270.2021
2019-05-09,6198.8042
2019-05-10,6209.1182
2019-05-13,6135.3960
2019-05-14,6071.2021
2019-05-15,5980.8848
2019-05-16,5895.7378
2019-05-17,5826.8682
2019-05-20,5907.1211
2019-05-21,5951.3721
